ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	MyCalendarView	enum	timeZone@SAMT	SAMT	Самарское время (UTC +4)	Samara Time (UTC +4)
DataSchema	MyCalendarView	enum	timeZone@YEKT	YEKT	Екатеринбургское время (UTC +5)	Yekaterinburg Time (UTC +5)
DataSchema	MyCalendarView	enum	timeZone@OMST	OMST	Омское стандартное время (UTC +6)	Omsk Standard Time (UTC +6)
DataSchema	MyCalendarView	enum	timeZone@KRAT	KRAT	Красноярское время (UTC +7)	Krasnoyarsk Time (UTC +7)
DataSchema	MyCalendarView	enum	timeZone@NOVT	NOVT	Новосибирское время (UTC +7)	Novosibirsk Time (UTC +7)
DataSchema	MyCalendarView	enum	timeZone@IRKT	IRKT	Иркутское время (UTC +8)	Irkutsk Time (UTC +8)
DataSchema	MyCalendarView	enum	timeZone@YAKT	YAKT	Якутское время (UTC +9)	Yakutsk Time (UTC +9)
DataSchema	MyCalendarView	enum	timeZone@VLAT	VLAT	Владивостокское время (UTC +10)	Vladivostok Time (UTC +10)
DataSchema	MyCalendarView	enum	timeZone@SRET	SRET	"Среднеколымское время (UTC +11) "	Srednekolymsk Time (UTC +11)
DataSchema	MyCalendarView	enum	timeZone@PETT	PETT	Камчатское время (UTC +12)	Kamchatka Time (UTC +12)
ViewConfiguration	MyCalendarView	actors	Administrator	Administrator	Администратор	Administrator
ClientAction	MyCalendarViewCheckLookupResultSelected	ui-message	DataIsNotSelected	checkLookupResultSelected	Ничего не выбрано!	Nothing is selected!
Rule	MyCalendarViewValidateTimeZone	rule	validation@NoTimeZone	validateTimeZone	E: Необходимо выбрать часовой пояс, если не выбран источник	E: Time zone is required if not based on another calendar.
Rule	MyCalendarViewValidateWorkHours	rule	validation@TimeFromCantBeAfterTimeTo	validateWorkHours	E: Рабочие часы не могут начинаться после их окончания	E: Work hours can't begin after they ends.
Rule	MyCalendarViewValidateWorkHours	rule	validation@CapacitySetToLargeForGivenWorkingTimePeriod	validateWorkHours	E: Для данного периода времени установлена большая емкость.	E: Capacity is set to large for the given time period.
UiSchema	MyCalendarViewUiSchema	ui-label	Calendar Settings	Calendar Settings	Настройки календаря	Calendar Settings
UiSchema	MyCalendarViewUiSchema	ui-label	Exceptions	Exceptions	Исключения	Exceptions
UiSchema	MyCalendarViewUiSchema	ui-label	Calendar name	Calendar name	Название календаря	Calendar name
UiSchema	MyCalendarViewUiSchema	ui-label	Based on calendar	Based on calendar	На основании календаря	Based on calendar
UiSchema	MyCalendarViewUiSchema	ui-label	Description	Description	Описание	Description
UiSchema	MyCalendarViewUiSchema	ui-label	Date from	Date from	Дата от	Date from
UiSchema	MyCalendarViewUiSchema	ui-label	Date to	Date to	Дата до	Date to
UiSchema	MyCalendarViewUiSchema	ui-label	Is workday	Is workday	Рабочий день	Is workday
UiSchema	MyCalendarViewUiSchema	ui-label	Source calendar	Source calendar	Источник	Source calendar
UiSchema	MyCalendarViewUiSchema	ui-label	Time zone	Time zone	Часовой пояс	Time zone
UiSchema	MyCalendarViewUiSchema	ui-label	Repetition	Repetition	Повтор	Repetition
UiSchema	MyCalendarViewUiSchema	ui-label	Pattern	Pattern	Повтор	Pattern
UiSchema	MyCalendarViewUiSchema	ui-label	Day of week	Day of week	День недели	Day of week
UiSchema	MyCalendarViewUiSchema	ui-label	Event date	Event date	Дата события	Event date
UiSchema	MyCalendarViewUiSchema	ui-label	Calendar Overview	Calendar Overview	Просмотр календаря	Calendar Overview
